# Dynamic Analysis - Cell 1
"# Test RPMs: [0.1, 0.2, 0.3, 0.6, 0.8, 1.0, 1.2, 1.5, 2.0, 2.5]"
# Z-range: -65.550 to -65.750
# Timestamp: 20251117_141310

Z-Height,RPM_0.1,RPM_0.2,RPM_0.3,RPM_0.6,RPM_0.8,RPM_1.0,RPM_1.2,RPM_1.5,RPM_2.0,RPM_2.5
-65.550,5.24,10.94,16.63,32.73,43.89,54.99,65.67,81.82,93.58,
-65.600,11.59,11.06,16.74,32.95,44.27,55.45,66.30,82.66,91.44,
-65.650,12.31,11.33,17.21,33.56,45.67,57.31,68.56,85.49,94.53,
-65.700,13.31,11.81,18.01,35.39,47.64,59.78,71.54,89.24,94.45,
-65.750,14.68,12.35,18.80,36.52,49.83,62.58,74.86,93.36,98.70,
