# Dynamic Analysis - Cell 2
"# Test RPMs: [0.1, 0.2, 0.3, 0.6, 0.8, 1.0, 1.2, 1.5, 2.0, 2.5]"
# Z-range: -65.550 to -65.750
# Timestamp: 20251117_141310

Z-Height,RPM_0.1,RPM_0.2,RPM_0.3,RPM_0.6,RPM_0.8,RPM_1.0,RPM_1.2,RPM_1.5,RPM_2.0,RPM_2.5
-65.550,6.50,13.67,20.78,40.12,55.17,69.38,83.03,92.83,,
-65.600,20.13,14.24,21.70,42.43,57.55,72.36,86.58,92.49,,
-65.650,21.35,14.45,22.02,42.48,58.44,73.47,87.92,93.89,,
-65.700,22.53,14.84,22.62,43.60,60.02,75.56,90.45,94.05,,
-65.750,24.73,15.66,23.90,45.97,63.52,80.01,93.68,96.53,,
