Z-Height,RPM_0.1,RPM_0.2,RPM_0.4,RPM_0.6,RPM_0.8,RPM_1.0,RPM_2.0,RPM_3.0,RPM_5.0,RPM_10.0
-65,19.01,73.34,,,,,,,,
-65.03,,,,,,,,,,
-65.06,71.28,71.02,91.01,,,,,,,
