Z-Height,RPM_0.1,RPM_0.2,RPM_0.4,RPM_0.6,RPM_0.8,RPM_1.0,RPM_2.0,RPM_3.0,RPM_5.0,RPM_10.0
-65,19.89,71.02,,,,,,,,
-65.03,57.48,61.64,83.39,83.48,72.85,71.61,94.39,,,
