Z-Height,RPM_0.1,RPM_0.2,RPM_0.4,RPM_0.6,RPM_0.8,RPM_1.0,RPM_2.0,RPM_3.0,RPM_5.0,RPM_10.0
-65,19.52,73.5,,,,,,,,
-65.03,,,,,,,,,,
-65.06,75.12,77.52,94.34,,,,,,,
