Z-Height,RPM_0.1,RPM_0.2,RPM_0.3,RPM_0.5,RPM_0.7,RPM_1.0,RPM_1.5,RPM_2.0,RPM_3.0,RPM_4.5,RPM_6.0,RPM_8.0,RPM_10.0
-65.6,16.83,57.53,81.27,89.69,96.74,99.36,,,,,,,
-65.7,67.42,77.43,84.47,93.83,97.72,,,,,,,,
-65.8,70.26,79.99,88.75,97.15,,,,,,,,,
-65.9,74.87,83.54,93.68,99.42,,,,,,,,,
-66,80.39,89.76,96.76,,,,,,,,,,
-66.1,85.91,90.65,96.51,,,,,,,,,,
-66.2,90.13,90.45,97.58,,,,,,,,,,
-66.3,,,,,,,,,,,,,
