Z-Height,RPM_0.1,RPM_0.2,RPM_0.3,RPM_0.5,RPM_0.7,RPM_0.9,RPM_1.1,RPM_1.2,RPM_1.5,RPM_2.5
-65.6,4.7,7.44,7.85,8.48,8.75,9.09,9.73,10.13,10.9,12.8
-65.7,6.67,10.22,11.55,13.35,14.67,15.34,16.6,17.01,18.36,21.96
-65.8,11.33,17.25,19.37,22.04,24.2,25.75,27.31,28.2,30.55,36.64
-65.9,18.18,29.2,32.31,35.62,38.45,42.41,44.51,46.44,50.13,60.71
-66,28.4,45.33,52.84,59.54,63.7,70.35,74.44,78.06,83.73,
-66.1,48.43,65.64,84.78,97.78,,,,,,
-66.2,85.56,91.66,,,,,,,,
