Z-Height,RPM_0.1,RPM_0.2,RPM_0.3,RPM_0.5,RPM_0.7,RPM_1.0,RPM_1.5,RPM_2.0,RPM_3.0,RPM_4.5,RPM_6.0,RPM_8.0,RPM_10.0
-65.6,17.81,57.18,83.06,92,98.12,,,,,,,,
-65.7,67.58,77.63,85.32,96.65,99.15,,,,,,,,
-65.8,72.85,82.32,90.94,96.43,,,,,,,,,
-65.9,76.44,85.26,95.36,,,,,,,,,,
-66,80.72,88.73,96.08,,,,,,,,,,
-66.1,87.81,93.29,97.8,,,,,,,,,,
-66.2,88.32,93.19,97.03,,,,,,,,,,
-66.3,90.68,93.19,95.9,98.37,,,,,,,,,
-66.4,89.27,93.27,97.32,,,,,,,,,,
-66.5,,,,,,,,,,,,,
