Z-Height,RPM_0.1,RPM_0.2,RPM_0.3,RPM_0.5,RPM_0.7,RPM_1.0,RPM_1.5,RPM_2.0,RPM_3.0,RPM_4.5,RPM_6.0,RPM_8.0,RPM_10.0
-65.6,17.96,59.12,86.04,96.46,,,,,,,,,
-65.7,78.97,86.76,97.25,,,,,,,,,,
-65.8,84.51,93.35,97.5,,,,,,,,,,
-65.9,89.6,93.85,97.97,,,,,,,,,,
-66,87.63,93.14,97.27,,,,,,,,,,
-66.1,97.12,92.5,95.19,,,,,,,,,,
-66.2,,,,,,,,,,,,,
