Z-Height,RPM_0.1,RPM_0.2,RPM_0.3,RPM_0.5,RPM_0.7,RPM_1.0,RPM_1.5,RPM_2.0,RPM_3.0,RPM_4.5,RPM_6.0,RPM_8.0,RPM_10.0
-65.6,17.22,58.2,84.62,96.83,,,,,,,,,
-65.7,74.42,84.06,94.33,,,,,,,,,,
-65.8,79.08,87.73,96.68,,,,,,,,,,
-65.9,88.48,93.87,97.87,,,,,,,,,,
-66,88.1,94.19,97.93,,,,,,,,,,
-66.1,94.42,89.92,95.53,,,,,,,,,,
-66.2,88.14,91.8,94.01,,,,,,,,,,
-66.3,,,,,,,,,,,,,
