Z-Height,RPM_0.1,RPM_0.2,RPM_0.3,RPM_0.5,RPM_0.7,RPM_0.9,RPM_1.1,RPM_1.2,RPM_1.5,RPM_2.5
-65.6,13.08,49.53,78.93,95.35,,,,,,
-65.7,78.03,80.04,91.83,97.76,,,,,,
-65.8,85.44,88.71,98.79,,,,,,,
