Z-Height,RPM_0.1,RPM_0.2,RPM_0.3,RPM_0.5,RPM_0.7,RPM_0.9,RPM_1.1,RPM_1.2,RPM_1.5,RPM_2.5
-65.6,14.18,47.97,79.59,91.58,97.51,97.3,,,,
-65.7,66.78,73.44,82.75,93.42,97.72,,,,,
-65.8,70.9,76.15,86.4,98.05,,,,,,
