Z-Height,RPM_0.1,RPM_0.2,RPM_0.3,RPM_0.5,RPM_0.7,RPM_1.0,RPM_1.5,RPM_2.0,RPM_3.0,RPM_4.5,RPM_6.0,RPM_8.0,RPM_10.0
-65.6,17.69,57.4,85.72,95.61,97.71,,,,,,,,
-65.7,69.64,80.03,87.47,98.31,,,,,,,,,
-65.8,72.33,82.75,91.83,96.34,,,,,,,,,
-65.9,76.88,85.8,96.52,99.52,,,,,,,,,
-66,83.52,92.55,98.6,,,,,,,,,,
-66.1,85.59,91.31,97.37,,,,,,,,,,
-66.2,91.61,88.91,95.82,,,,,,,,,,
-66.3,84.76,90.69,97.65,,,,,,,,,,
-66.4,,,,,,,,,,,,,
