Z-Height,RPM_0.1,RPM_0.2,RPM_0.3,RPM_0.5,RPM_0.7,RPM_1.0,RPM_1.5,RPM_2.0,RPM_3.0,RPM_4.5,RPM_6.0,RPM_8.0,RPM_10.0
-65.6,2.19,4.52,6.84,11.46,15.92,22.82,34.01,45.42,68.2,93.16,,,
-65.7,3.83,5.64,8.45,14.11,19.78,28.14,42.15,56.04,83.77,,,,
-65.8,6.24,9.45,12.1,17.63,24.32,33.72,50,65.87,96.34,,,,
-65.9,8.33,7.44,11.72,18.12,24.01,33.8,49.15,65.05,96.02,,,,
-66,11.47,9.89,10.31,9.78,24.22,31.45,49.78,65.47,95.56,,,,
-66.1,14.84,12.36,13.05,16.93,18.75,34.74,47.11,61.62,95.73,,,,
-66.2,47.36,33.98,18.82,17.64,26.26,32.14,42.46,63.3,93.3,,,,
-66.3,65.33,65.17,60.47,54.5,48.72,48.25,49.12,50.23,41.07,37.65,43.59,82.01,86.55
-66.4,81.72,81.36,83.88,87.05,84.52,85.2,82.58,86.32,86.91,88.85,94.69,96.41,
-66.5,,,,,,,,,,,,,
