Z-Height,RPM_0.1,RPM_0.2,RPM_0.3,RPM_0.5,RPM_0.7,RPM_1.0,RPM_1.5,RPM_2.0,RPM_3.0,RPM_4.5,RPM_6.0,RPM_8.0,RPM_10.0
-65.6,2,3.79,5.69,9.55,13.34,19.02,28.63,38.21,57.32,85.71,,,
-65.7,2.83,4.32,6.47,10.89,15.31,21.8,32.65,43.49,65.12,97.31,,,
-65.8,3.34,5.05,7.52,12.63,17.65,25.23,37.79,50.4,75.38,96.87,,,
-65.9,4.47,5.96,8.9,14.94,20.95,29.93,44.86,59.84,89.44,,,,
-66,10.39,16.9,20.86,24.03,33.92,44.58,62.67,79.97,95.6,,,,
-66.1,9.16,12.79,20.27,22.07,27.63,38.24,55.94,74.37,94.19,,,,
-66.2,20.06,15.2,13.4,18.53,31,38.11,58.12,74.35,90.96,,,,
-66.3,14.9,12.88,14.28,21.54,27.79,40.34,55.57,73.5,93.97,,,,
-66.4,16.06,11.66,10.29,20.85,29.5,35.96,58.64,77.01,96.7,,,,
-66.5,84.5,84.15,81.94,82.7,82.67,82.64,82.65,82.88,83.71,83.75,83.81,83.97,84.88
-66.6,85.21,84.02,83.3,82.75,82.32,81.16,80.51,80.38,82.41,82.29,82.36,82.58,83.75
-66.7,84.48,84.78,84.57,82.85,81.58,84.34,84.68,84.81,85.39,85.61,86.09,86.44,87.33
