Z-Height,RPM_0.1,RPM_0.2,RPM_0.3,RPM_0.5,RPM_0.7,RPM_1.0,RPM_1.5,RPM_2.0,RPM_3.0,RPM_4.5,RPM_6.0,RPM_8.0,RPM_10.0
-65.6,0.78,1.85,2.95,5.16,7.5,11,16.98,22.82,34.81,52.51,70.44,94.39,
-65.7,1.74,3.34,5.06,8.52,12.01,17.21,25.98,34.78,52.46,78.78,96.78,,
-65.8,2.73,4.42,6.67,11.24,15.72,22.41,33.6,44.78,67.11,94.55,,,
-65.9,3.69,5.44,8.09,13.49,18.97,27.08,40.64,54.23,81.28,,,,
-66,7.31,11.32,14.5,22.05,28.74,38.24,55.67,72.65,92.93,,,,
-66.1,12.83,8.9,5.45,12.72,19.17,34.32,48.33,65.27,92.89,,,,
-66.2,17.19,9.54,7.88,17.29,24.9,29.54,51.74,68.22,92.88,,,,
-66.3,13.74,5.72,9.82,18.44,19.51,34.98,46.62,65,89.25,,,,
-66.4,66.62,66.67,65.51,67.28,65.32,67.03,67.17,68.54,70.35,70.76,71.29,76.27,88.05
-66.5,89.33,89.25,88.75,87.59,87.52,89.17,87.14,89.81,90.04,90.83,91.55,92.11,93.12
-66.6,91.43,91.41,91.98,91.13,91.33,91.38,91.79,91.1,94.1,95.1,96.16,96.32,96.53
-66.7,94.89,93.52,91.39,92.45,95.41,93.7,94.74,95.49,95.36,96.56,97.14,97.31,98.17
