Z-Height,RPM_0.1,RPM_0.2,RPM_0.3,RPM_0.5,RPM_0.7,RPM_1.0,RPM_1.5,RPM_2.0,RPM_3.0,RPM_4.5,RPM_6.0,RPM_8.0,RPM_10.0
-65.6,2.86,5.55,8.25,13.78,19.25,27.53,41.12,54.89,82.31,,,,
-65.7,4.53,6.41,9.64,16.12,22.53,32.15,48.17,64.27,96.13,,,,
-65.8,9.05,9.89,11.44,17.94,24.99,35.18,51.83,68.5,91.94,,,,
-65.9,9.28,8.74,13.63,22.49,28.05,38.18,54.12,71.47,93.14,,,,
-66,14.91,10.63,9.39,15.6,29.87,30.55,50.34,68.04,92.62,,,,
-66.1,8.33,9.57,17.29,22.46,16.55,34.85,51.43,67.73,91.3,,,,
-66.2,11.64,10.67,11.45,8.09,24.55,31.82,51.94,63.79,89.63,,,,
-66.3,63.37,64.92,65.32,65.5,62.77,64.36,63.92,66.25,64.69,80.71,88.38,,
-66.4,,,,,,,,,,,,,
