Z-Height,RPM_0.1,RPM_0.2,RPM_0.4,RPM_0.6,RPM_0.8,RPM_1.0,RPM_2.0,RPM_3.0,RPM_5.0,RPM_10.0
-65,2.25,4.86,9.9,14.9,20.04,25.29,50.46,76.07,,
-65.03,4.03,5.22,10.43,15.68,20.88,26.12,51.84,77.83,,
-65.06,4.26,5.4,10.77,16.14,21.44,26.81,53.11,79.69,,
-65.09,4.46,5.57,11.06,16.54,21.99,27.49,54.48,81.69,,
-65.12,4.71,5.73,11.35,16.97,22.6,28.21,55.91,83.86,,
-65.15,4.93,5.86,11.65,17.42,23.22,28.98,57.44,86.14,,
-65.18,5.2,6.01,11.96,17.92,23.87,29.81,59.06,88.59,,
-65.21,5.47,6.16,12.24,18.38,24.45,30.56,60.49,90.77,,
