Z-Height,RPM_0.1,RPM_0.2,RPM_0.4,RPM_0.6,RPM_0.8,RPM_1.0,RPM_2.0,RPM_3.0,RPM_5.0,RPM_10.0
-65,2.05,4.46,9.25,14.22,19.25,24.16,48.29,72.99,,
-65.03,3.86,5.21,10.42,15.62,20.88,26.08,51.79,77.74,,
-65.06,4.28,5.47,10.91,16.35,21.79,27.23,53.95,80.93,,
-65.09,4.64,5.7,11.29,16.94,22.52,28.18,55.76,83.64,,
-65.12,4.97,5.87,11.65,17.48,23.23,29.06,57.51,86.21,,
-65.15,5.19,6.02,11.99,17.97,23.91,29.87,59.17,88.67,,
-65.18,5.49,6.19,12.35,18.47,24.64,30.73,60.89,91.28,,
