Z-Height,RPM_0.1,RPM_0.2,RPM_0.4,RPM_0.6,RPM_0.8,RPM_1.0,RPM_2.0,RPM_3.0,RPM_5.0,RPM_10.0
-65,2.41,4.89,9.81,14.81,19.82,24.84,49.28,73.94,,
-65.03,3.8,5.12,10.24,15.32,20.37,25.46,50.51,75.76,,
-65.06,4,5.26,10.49,15.71,20.9,26.12,51.82,77.71,,
-65.09,4.21,5.41,10.78,16.12,21.46,26.81,53.18,79.76,,
-65.12,4.46,5.58,11.07,16.55,22.04,27.53,54.59,81.88,,
-65.15,4.65,5.73,11.35,16.99,22.62,28.24,55.98,83.97,,
-65.18,4.87,5.84,11.64,17.42,23.2,28.98,57.44,86.18,,
-65.21,5.15,5.98,11.93,17.88,23.81,29.74,58.96,88.47,,
-65.24,5.41,6.15,12.24,18.35,24.43,30.52,60.48,90.78,,
