Z-Height,RPM_0.1,RPM_0.2,RPM_0.4,RPM_0.6,RPM_0.8,RPM_1.0,RPM_2.0,RPM_3.0,RPM_5.0,RPM_10.0
-65,1.93,4.36,8.98,13.69,18.41,23.18,46.39,70.01,,
-65.03,3.46,4.96,9.85,14.76,19.66,24.57,48.79,73.24,,
-65.06,3.74,5.11,10.19,15.24,20.28,25.33,50.27,75.36,,
-65.09,3.92,5.24,10.42,15.6,20.74,25.9,51.38,77.07,,
-65.12,4.14,5.36,10.67,15.97,21.26,26.56,52.68,79.05,,
-65.15,4.37,5.51,10.95,16.37,21.79,27.23,54.02,81.07,,
-65.18,4.57,5.65,11.24,16.82,22.4,28,55.52,83.34,,
-65.21,4.82,5.81,11.56,17.3,23.05,28.81,57.14,85.74,,
-65.24,5.09,5.97,11.89,17.82,23.74,29.66,58.81,88.28,,
-65.27,5.37,6.14,12.23,18.33,24.41,30.52,60.48,90.8,,
